Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
0	-70.2054	108.817	26.7738	-389.0	42.2228	93.2973	228.354	-12.2479	190.455	244.0	4999	5.63983	4.3247	26.8879	-5.76834	5.63948	4.32195	26.6239	-5.81639	6.75756	4.21863	27.7307	-2.78322	-4.12658	1.72933	9.52578	-14.76	-7.12841	0.284162	0.300441	0.416556	167.54435014724731
1	-34.8332	70.781	52.8964	-333.28	-62.8463	61.0893	10.5098	-165.396	118.881	852.2	9999	18.3446	5.39412	41.2443	-4.9102	18.3441	5.38727	40.9938	-8.06739	19.512	5.09961	40.3169	-1.29691	-2.26625	2.34349	11.853	-15.8374	-20.6236	1.32283	1.37806	1.60905	367.5809688568115
2	-114.522	121.478	18.5047	-358.456	368.96	81.2351	464.129	226.252	451.0	908.0	14999	26.2783	4.58256	45.4196	-6.00346	26.2783	4.58625	45.0958	-5.51388	27.0733	4.04058	45.846	-3.39081	-2.20478	2.26294	13.5494	-18.0595	-28.4322	1.83332	1.7889	2.27706	581.9763906002045
3	-5.362	59.9119	81.1216	-106.983	461.954	194.595	596.972	79.7008	360.0	827.4	19999	25.2955	4.68778	44.2905	-7.42204	25.2956	4.69155	43.8929	-8.42072	25.8874	4.28463	43.0849	-4.9721	-2.61721	1.96842	8.94081	-15.1224	-27.0153	1.65823	1.60664	2.00827	792.4333367347717
4	2.31667	41.6206	69.7988	-68.9852	450.096	47.649	499.076	376.329	401.818	1000.0	24999	24.9312	4.73315	44.306	-9.99579	24.9317	4.73793	44.9981	-10.8922	25.4794	4.36007	42.7556	-5.79807	-2.61715	1.9258	10.3394	-17.3195	-26.5167	1.71491	1.66439	1.9323	964.9985234737396
5	-12.4677	98.8958	199.517	-105.986	436.842	44.714	485.14	383.602	722.714	1000.0	29999	24.8137	4.54867	44.8827	-11.0707	24.8139	4.55494	45.3319	-11.8496	25.3142	4.18169	44.5966	-8.76131	-2.60399	1.92881	9.20328	-15.5368	-26.3139	1.65093	1.5887	1.86129	1161.3203465938568
6	40.3797	35.9986	93.9671	-38.6015	482.324	40.1398	556.883	441.359	441.273	1000.0	34999	24.9408	4.45143	48.7578	-14.5666	24.9411	4.45524	47.3229	-14.7306	25.4301	4.09376	46.1108	-13.0482	-2.61757	1.91199	8.63406	-15.8083	-26.3821	1.64409	1.62219	1.8005	1316.3106949329376
7	84.8456	102.995	294.613	-55.9197	644.372	48.349	709.216	565.301	744.714	1000.0	39999	25.7157	4.50813	49.7183	-16.104	25.7158	4.5101	47.9647	-18.0836	26.2036	4.14815	47.0412	-15.7612	-2.67883	1.89342	9.19786	-16.6806	-27.1034	1.53381	1.53083	1.69726	1492.858178138733
8	85.1661	120.589	307.842	-94.2711	551.465	108.488	695.828	439.221	647.625	1000.0	44999	26.8915	4.80807	51.6873	-21.632	26.8915	4.80886	50.2164	-20.9522	27.3662	4.46913	49.1422	-21.7022	-2.69376	1.89014	9.33682	-15.0754	-28.2469	1.54465	1.55354	1.65983	1672.6621305942535
9	133.222	105.496	349.805	34.456	718.575	39.4936	764.302	667.389	539.444	1000.0	49999	27.9197	5.14723	51.9175	-23.0377	27.9197	5.14829	51.2791	-28.365	28.3672	4.83785	50.2853	-23.8661	-2.6798	1.8842	10.0342	-15.7148	-29.2372	1.6028	1.62459	1.66067	1846.0924804210663
10	88.5615	68.73	218.637	15.4692	689.243	250.201	862.87	197.652	688.286	842.4	54999	28.7208	5.42346	53.1536	-24.5376	28.7206	5.42323	53.4164	-35.6576	29.1546	5.1355	51.7183	-25.3374	-2.70936	1.87189	12.0711	-15.7602	-30.0092	1.57984	1.61366	1.64417	2018.4720737934113
11	96.9541	91.0207	249.368	-14.5775	654.36	306.094	934.083	71.5026	621.111	1000.0	59999	29.7303	5.63678	54.5823	-25.5118	29.7304	5.63579	54.872	-26.6741	30.1637	5.35204	52.9757	-25.2857	-2.74831	1.8684	10.5695	-16.6868	-31.0016	1.51463	1.55123	1.5764	2220.169835805893
12	257.412	135.539	505.806	106.503	660.24	211.45	880.665	271.778	853.0	898.2	64999	30.9017	5.85488	55.7782	-24.6287	30.9017	5.85375	55.8542	-28.3569	31.3249	5.56218	55.4627	-24.6468	-2.72411	1.86762	9.97625	-16.0455	-32.1585	1.62157	1.66198	1.58864	2379.375701189041
13	70.7566	42.9757	130.243	7.26053	899.169	84.9554	1010.77	757.057	694.875	957.6	69999	31.9352	6.07719	59.0422	-27.9376	31.9351	6.07633	58.5829	-40.4938	32.364	5.79534	56.8951	-26.6309	-2.73983	1.86838	10.8116	-15.23	-33.1881	1.56886	1.6242	1.55357	2581.620254278183
14	134.837	72.4933	308.187	47.8295	886.367	65.2128	995.946	792.944	623.0	1000.0	74999	33.1254	6.33576	59.9679	-29.1778	33.1252	6.33481	60.4672	-39.5002	33.5493	6.05394	58.3632	-25.8394	-2.76406	1.86818	11.35	-18.3578	-34.3658	1.61634	1.66025	1.56741	2764.412499189377
15	140.657	90.3589	294.325	25.5536	879.508	232.673	1160.71	583.096	813.5	902.6	79999	34.0606	6.5661	61.5962	-28.2605	34.0603	6.56481	61.0491	-35.6579	34.4844	6.29955	60.0879	-25.7417	-2.7756	1.87476	13.0386	-18.1586	-35.2929	1.56529	1.62631	1.53229	2926.8922798633575
16	243.613	142.743	512.401	58.2489	609.916	289.795	836.029	58.2276	828.0	749.6	84999	35.1263	6.88311	62.7348	-25.3465	35.1262	6.88199	64.752	-38.7943	35.551	6.61948	61.407	-24.2998	-2.77674	1.88329	12.5841	-17.084	-36.3504	1.60306	1.65891	1.54571	3102.957179784775
