Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
0	-303.284	52.9057	-205.414	-356.65	-588.002	48.0777	-521.386	-669.216	1000.0	1000.0	4999	6.78916	5.55407	26.2886	-5.331	6.7896	5.55563	26.2844	-4.84899	7.81917	5.54252	27.9514	-3.29123	-2.44588	2.00115	13.3142	-13.1343	-8.06381	0.540431	0.521244	0.343778	177.36946439743042
1	-284.066	84.8943	-166.92	-385.445	-220.563	135.646	-56.9175	-459.448	1000.0	1000.0	9999	24.1844	6.98448	53.422	-0.0323001	24.1842	6.98507	51.5443	0.112295	25.5764	7.12887	55.0163	0.509423	-0.699355	2.88496	18.528	-14.3479	-26.1258	0.939354	0.946314	0.764295	356.9103956222534
2	-215.23	48.9442	-155.719	-271.9	-157.384	9.52936	-146.157	-172.507	1000.0	1000.0	14999	41.1665	10.0229	80.0076	20.787	41.1661	10.0259	79.8153	20.8437	42.2456	10.3273	80.5492	19.4177	-0.822018	2.88045	20.5192	-18.1073	-42.9253	1.29777	1.2555	1.15362	538.526214838028
3	-28.0449	148.516	196.275	-249.086	1405.64	84.2266	1557.27	1318.43	1000.0	1000.0	19999	39.882	14.3684	79.051	16.9544	39.8816	14.3714	79.1172	16.5243	40.4818	14.5477	80.2946	15.7293	-2.30462	1.94779	11.2202	-14.7502	-41.0884	1.13321	1.08971	0.919412	721.5953953266144
4	994.173	233.183	1396.15	724.909	2259.1	102.888	2393.27	2092.36	1000.0	1000.0	24999	42.559	18.6022	95.2217	15.5185	42.5585	18.604	96.049	15.4183	43.1428	18.6209	94.4507	13.8282	-2.21046	2.02772	12.1885	-15.1852	-43.7056	1.2307	1.21715	0.943861	903.6059620380402
5	1596.83	212.383	1917.73	1355.6	2509.52	470.511	2845.56	1590.6	1000.0	1000.0	29999	51.5455	24.9489	115.404	13.9518	51.5452	24.95	115.662	14.7667	52.1302	24.8467	114.864	12.9641	-1.65125	2.36932	15.8181	-16.3501	-52.7172	1.79566	1.81289	1.21295	1085.404222726822
6	1723.56	782.33	2282.36	218.965	3216.12	32.547	3262.29	3179.83	1000.0	1000.0	34999	65.1451	32.9136	137.827	12.6377	65.1449	32.9138	138.221	12.1369	65.762	32.731	136.646	11.7435	-0.899899	2.76174	15.2597	-14.7608	-66.407	2.38853	2.42022	1.58467	1267.886636018753
7	2178.42	1105.96	2989.38	-11.2674	3690.83	60.8088	3746.98	3582.73	1000.0	1000.0	39999	78.0837	41.7074	165.653	7.26701	78.0835	41.708	164.852	7.53874	78.7292	41.5402	165.676	7.62359	-0.46805	2.97089	17.6693	-14.5071	-79.449	2.80283	2.81876	1.90816	1449.9283125400543
8	2971.08	122.677	3183.41	2817.55	3506.25	97.0065	3622.96	3383.18	1000.0	1000.0	44999	96.8954	50.9264	197.203	0.50272	96.8952	50.9267	199.051	1.27016	97.5544	50.7107	195.768	1.5813	0.0992362	3.14766	20.5317	-15.7901	-98.3454	3.58106	3.56726	2.42702	1631.6707935333252
9	2576.27	805.452	3091.57	976.468	3529.29	183.788	3874.57	3321.89	1000.0	1000.0	49999	115.259	58.7858	216.344	-5.26844	115.259	58.7864	216.788	-4.83165	115.851	58.5112	215.416	-3.94744	0.37268	3.14533	20.6245	-15.6547	-116.69	4.25585	4.21818	2.83283	1813.706876039505
10	3163.18	266.626	3426.3	2677.56	4083.17	62.2846	4202.12	4030.14	1000.0	1000.0	54999	130.85	65.6902	233.042	-12.5642	130.85	65.6908	232.323	-13.8159	131.38	65.3924	234.197	-11.5308	0.474432	3.11911	20.211	-15.6682	-132.252	4.91744	4.84613	3.29234	1995.2909083366394
11	3570.24	152.647	3807.25	3385.8	4333.62	85.3916	4432.01	4195.98	1000.0	1000.0	59999	147.336	71.1103	252.265	-16.1498	147.336	71.1106	250.676	-16.6665	147.845	70.77	250.886	-15.3081	0.65848	3.17719	20.6629	-14.9291	-148.734	5.15691	5.05629	3.60137	2177.380965948105
12	3909.43	205.088	4178.51	3703.64	4822.89	17.1419	4847.49	4793.69	1000.0	1000.0	64999	164.457	75.8033	268.978	-18.1814	164.457	75.8038	268.182	-16.9206	164.963	75.4254	270.773	-17.0852	0.929847	3.28254	23.3289	-15.8642	-165.868	5.33523	5.22556	3.92642	2359.2719094753265
13	4147.02	129.195	4287.4	3980.63	4606.59	67.572	4680.11	4492.88	1000.0	1000.0	69999	181.878	80.2569	293.835	-18.9225	181.878	80.2576	293.179	-18.0302	182.411	79.8557	291.803	-17.3981	1.27669	3.38306	22.3329	-16.5988	-183.334	5.51997	5.37749	4.15699	2541.4999833106995
14	4526.37	155.417	4699.96	4245.28	4978.66	58.2746	5056.22	4891.89	1000.0	1000.0	74999	200.129	84.7799	314.732	-19.913	200.129	84.7804	317.815	-15.1574	200.672	84.3568	314.078	-17.3186	1.66024	3.46474	22.7143	-15.9423	-201.63	5.8168	5.66101	4.54217	2723.308269739151
15	4232.65	659.558	4779.73	2973.39	5213.71	65.7392	5323.9	5144.55	1000.0	1000.0	79999	216.734	89.6213	332.039	-22.0401	216.734	89.622	334.831	-18.6527	217.257	89.1908	330.028	-21.2211	1.84402	3.48836	23.4259	-14.9948	-218.233	6.26299	6.07654	5.03025	2905.308867931366
16	4710.26	143.651	4954.92	4557.07	5188.52	71.7412	5239.05	5046.85	1000.0	1000.0	84999	232.6	93.7183	347.873	-28.0807	232.6	93.7195	349.493	-24.9713	233.082	93.2696	347.029	-24.9493	1.99903	3.51556	23.2493	-14.6605	-234.077	6.72402	6.48253	5.38542	3086.8014311790466
17	4732.19	69.7013	4818.45	4633.22	5083.38	76.6263	5155.72	4942.78	1000.0	1000.0	89999	247.133	97.0258	360.907	-33.2254	247.133	97.0272	359.101	-30.5634	247.578	96.5529	358.206	-30.1512	2.10373	3.49493	23.2445	-14.4077	-248.589	6.93667	6.61697	5.658	3266.7042882442474
18	4763.15	225.686	4928.23	4330.48	5261.03	68.2231	5334.78	5152.86	1000.0	1000.0	94999	260.488	99.4268	372.378	-38.3711	260.488	99.4283	370.679	-35.2615	260.897	98.9352	369.496	-31.6335	2.20318	3.47919	27.5849	-14.8632	-261.92	7.04881	6.739	5.95223	3445.006290435791
19	3264.82	2201.97	5258.6	307.49	5445.2	35.6726	5483.21	5402.44	1000.0	1000.0	99999	268.701	104.691	381.446	-46.526	268.701	104.692	378.517	-44.6581	269.086	104.229	378.441	-42.7935	2.18292	3.50516	33.0921	-16.3579	-270.108	7.20511	6.88309	6.23896	3621.9434428215027
20	5013.55	143.415	5168.9	4768.35	5500.34	58.6821	5603.39	5428.9	1000.0	1000.0	104999	278.401	108.275	391.28	-53.4328	278.401	108.277	389.785	-46.2045	278.765	107.819	387.822	-46.7427	2.24194	3.53347	35.7369	-13.9046	-279.786	7.2563	6.99055	6.45993	3797.616003513336
21	5318.46	146.673	5469.72	5048.76	5614.89	108.588	5777.84	5497.97	1000.0	1000.0	109999	289.19	110.518	401.324	-59.1176	289.19	110.519	401.15	-53.4686	289.547	110.044	399.03	-52.0594	2.36989	3.56171	39.882	-14.527	-290.569	7.37496	7.09529	6.57662	3973.3398110866547
