Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
0	-52.969	82.9984	-0.262747	-412.531	-28.5726	70.0738	16.9991	-167.004	126.795	317.2	4999	6.75988	5.17785	26.9893	-9.64624	6.75772	5.17356	27.6937	-9.51774	7.94689	5.04309	28.4696	-6.14203	-3.64155	2.05564	10.6477	-15.5043	-8.45917	0.473486	0.506512	0.558641	195.2986123561859
1	-44.5448	85.1213	35.1297	-423.651	-406.309	323.024	-53.5626	-990.104	129.436	1000.0	9999	20.5585	6.30156	44.8	-9.76594	20.5557	6.29353	45.434	-10.5651	21.8184	5.85372	45.4876	-7.37301	-1.56414	2.53222	16.9871	-16.4479	-23.3492	1.94095	2.04175	2.1225	398.2116255760193
2	-129.282	137.507	1.9694	-352.726	269.853	203.018	517.495	33.8831	495.889	552.0	14999	27.2707	5.71364	47.5474	-8.61883	27.2703	5.71442	48.2821	-8.87997	28.1446	5.1828	47.6179	-6.34693	-1.84323	2.36163	14.8364	-16.7196	-29.7348	2.1065	2.07679	2.50287	577.1442770957947
3	-22.0181	97.5175	91.3621	-255.832	459.497	44.6392	514.368	396.705	342.286	967.6	19999	26.487	5.93398	50.2728	-10.7816	26.4877	5.93559	48.6402	-10.5923	27.1522	5.55273	47.9034	-9.11778	-2.33922	2.14361	12.0764	-17.6034	-28.4363	1.80496	1.76181	2.13798	767.3817276954651
4	-6.92076	45.9105	89.7083	-100.572	447.672	90.0702	600.349	347.587	435.909	1000.0	24999	25.0349	6.17289	48.6638	-13.6238	25.0347	6.17479	49.0532	-13.0052	25.6228	5.86014	48.1886	-9.74783	-2.50743	2.04519	11.0037	-18.7294	-26.74	1.8603	1.86012	1.94219	952.9706768989563
5	9.66848	65.7632	155.438	-64.6683	594.164	75.3019	683.87	493.801	649.333	1000.0	29999	24.7042	5.9041	48.8834	-14.9736	24.7041	5.90429	47.9986	-13.1169	25.2563	5.5828	48.0815	-11.0946	-2.54762	2.0086	11.6277	-17.1667	-26.2921	1.66186	1.68256	1.771	1172.6519103050232
6	17.7793	91.0163	168.879	-158.095	585.646	261.17	775.144	71.1864	636.571	816.2	34999	25.1128	5.60634	49.3089	-16.6764	25.1128	5.60475	50.4022	-15.21	25.6519	5.2774	49.1186	-10.0454	-2.57939	2.00915	10.007	-17.7736	-26.6353	1.51653	1.54784	1.65333	1317.9029235839844
7	45.0514	94.9663	267.032	-84.7836	617.644	109.391	765.129	466.076	479.3	1000.0	39999	25.9839	5.43458	51.6446	-27.1218	25.9838	5.43429	50.6356	-33.6297	26.5218	5.10431	51.3836	-10.5672	-2.63855	2.00989	10.6825	-17.5035	-27.4724	1.45095	1.4627	1.59769	1481.480486869812
8	93.7212	114.162	270.016	-96.1897	558.453	172.878	707.338	277.253	661.5	1000.0	44999	27.3695	5.41723	53.4325	-17.1174	27.3692	5.41696	52.0713	-18.3108	27.8912	5.06443	52.3137	-11.8211	-2.67141	1.99403	13.6957	-15.6171	-28.8103	1.52241	1.54326	1.59255	1663.8132092952728
9	129.739	94.7212	300.039	10.9802	647.428	161.866	831.1	438.193	607.75	927.2	49999	28.9016	5.4163	53.4861	-19.7217	28.9015	5.41494	52.9241	-17.0388	29.4047	5.04435	51.9835	-14.3303	-2.68	1.98432	13.2145	-18.8036	-30.3044	1.59537	1.63281	1.59381	1836.4377822875977
10	34.0229	54.5783	145.245	-42.8236	520.904	294.585	818.464	108.959	573.889	687.8	54999	30.0517	5.37216	54.7043	-22.6248	30.0517	5.37021	54.9447	-19.4529	30.5392	4.99858	54.2842	-19.1635	-2.68585	1.98984	12.2954	-14.2996	-31.4321	1.57079	1.59763	1.60822	2018.2479801177979
11	82.4732	84.052	185.539	-57.5517	875.269	51.3394	935.307	788.693	714.571	1000.0	59999	31.0413	5.42012	56.946	-21.9968	31.0412	5.41946	56.1118	-24.8453	31.5192	5.04228	55.3432	-17.7231	-2.71119	1.99253	14.0452	-16.2468	-32.399	1.57578	1.58778	1.61061	2200.3967311382294
12	84.4729	106.88	388.506	-0.272029	772.878	103.938	909.65	653.815	346.733	921.6	64999	31.9693	5.40227	58.3526	-24.8975	31.9692	5.4016	57.3704	-24.9818	32.4368	5.03045	57.3518	-24.0894	-2.72848	1.98939	13.5864	-17.5878	-33.3133	1.65201	1.67162	1.66477	2389.278053998947
13	36.674	62.753	143.499	-41.7813	706.819	310.935	883.935	85.6912	661.714	818.8	69999	32.7906	5.38727	58.4023	-27.4411	32.7906	5.38544	58.3382	-26.6229	33.2481	5.02351	57.1976	-23.7384	-2.75238	1.97909	14.6824	-16.1191	-34.1103	1.70397	1.71632	1.67319	2560.9456419944763
14	109.409	64.0365	250.37	33.3562	775.066	226.733	921.548	326.315	625.556	870.2	74999	33.5966	5.55654	59.7292	-28.3976	33.5964	5.55484	59.1057	-27.5038	34.053	5.20229	59.0513	-24.9099	-2.77274	1.98522	16.4896	-16.4184	-34.9013	1.69986	1.73486	1.67831	2764.513694047928
15	228.754	174.671	466.274	-16.0234	804.534	174.263	942.325	465.153	844.0	901.4	79999	34.509	5.77365	60.7144	-24.0718	34.509	5.77199	60.7921	-29.8256	34.9627	5.43105	60.9107	-26.1913	-2.76932	1.99261	16.0867	-16.3531	-35.8031	1.70094	1.73488	1.6641	2911.8265295028687
16	110.282	97.0376	244.414	2.30827	793.23	389.771	995.829	13.8808	667.25	803.8	84999	35.3423	5.893	62.2346	-27.5772	35.3424	5.89149	61.8711	-31.3862	35.7884	5.55983	61.8391	-25.8682	-2.7712	1.99168	15.4079	-15.2365	-36.6291	1.71948	1.72815	1.66146	3092.7101051807404
17	182.51	116.022	324.99	37.3141	849.834	92.6083	963.307	704.908	619.125	1000.0	89999	36.2431	5.97159	63.2207	-33.3078	36.243	5.96923	62.5555	-29.6234	36.687	5.6412	61.0505	-24.2832	-2.78465	1.98301	15.5562	-17.1511	-37.5159	1.73376	1.76881	1.66501	3271.3029618263245
18	167.089	150.454	517.784	60.381	877.086	54.9957	985.099	832.636	791.143	1000.0	94999	37.2288	5.95228	63.1793	-38.6112	37.2287	5.94954	63.8205	-31.102	37.6753	5.61496	62.4911	-26.5304	-2.80454	1.98466	16.795	-16.2428	-38.4932	1.7186	1.75307	1.63272	3474.7628655433655
19	140.843	99.3729	336.328	20.8058	952.813	61.4117	1030.01	881.636	606.0	1000.0	99999	38.2081	5.94529	64.4634	-32.0506	38.2081	5.94315	64.0928	-28.6146	38.652	5.60368	63.6371	-27.2745	-2.81909	1.98185	17.8486	-16.427	-39.4637	1.72663	1.75278	1.63289	3635.201140642166
20	161.546	107.759	351.091	17.7767	916.84	65.6537	1024.12	825.674	625.667	972.2	104999	39.1711	5.93526	65.2273	-39.4786	39.1708	5.9331	64.5345	-42.261	39.6122	5.59211	64.8314	-40.4177	-2.81412	1.98452	18.3214	-16.6986	-40.4214	1.74361	1.7735	1.62593	3835.6135709285736
21	240.264	196.506	595.99	8.14701	930.036	160.491	1236.42	805.141	618.857	1000.0	109999	40.2228	5.92344	67.0315	-34.6839	40.2226	5.923	66.2105	-39.9915	40.6612	5.5744	65.3821	-27.4453	-2.80898	1.97538	17.7995	-16.215	-41.4611	1.77361	1.78925	1.61318	3996.6129772663116
