Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	LossV	Time
0	-333.682	55.4218	-259.862	-416.133	-110.599	35.2351	-71.0377	-170.727	1000.0	1000.0	4999	5.99462	4.29287	23.954	-4.02269	5.99475	4.2945	23.7517	-3.83466	6.94492	4.27616	25.1676	-1.07601	-2.75667	1.82725	14.0055	-14.0914	-7.17435	0.268805	0.260743	0.252148	189.96056365966797
1	-256.277	59.2146	-178.746	-351.968	-316.746	41.1481	-259.049	-378.971	1000.0	1000.0	9999	22.5685	6.70404	47.2027	-0.0878416	22.5685	6.70483	47.5224	-0.406156	23.9052	6.677	48.2568	2.28873	-0.80394	2.68962	15.4744	-14.8261	-24.4296	0.639341	0.627598	0.665254	380.6370449066162
2	-274.339	35.2479	-227.205	-331.25	-85.7572	6.45817	-78.177	-96.4866	1000.0	1000.0	14999	33.7797	8.16554	61.5424	17.2433	33.7798	8.1642	61.1646	16.6414	34.6182	8.40999	60.9311	17.1814	-1.74026	2.37343	12.8222	-15.8315	-35.1912	0.698889	0.717882	0.754707	574.8371953964233
3	185.095	275.63	557.852	-126.204	630.63	25.3397	671.165	593.054	1000.0	1000.0	19999	35.9106	11.5234	69.5423	15.1612	35.9106	11.5215	68.7736	14.293	36.5369	11.6164	68.2732	15.6423	-2.54484	1.76114	9.22585	-16.9862	-37.0563	0.763983	0.796064	0.721868	769.953362941742
4	838.805	250.443	1239.01	483.634	2189.32	45.5685	2247.89	2132.98	1000.0	1000.0	24999	40.0012	14.3981	81.595	13.6787	40.0013	14.3975	80.461	13.8565	40.6292	14.409	81.1175	15.1264	-2.35803	1.82813	11.0017	-14.3115	-41.1249	0.953268	0.960669	0.79926	963.4825625419617
5	1387.05	504.707	1908.16	443.332	2603.67	423.25	2921.93	1777.3	1000.0	1000.0	29999	49.7218	20.6214	111.526	12.2512	49.7218	20.6221	110.952	12.6767	50.3822	20.5524	111.266	14.577	-1.58449	2.28347	16.4278	-18.425	-50.9353	1.53347	1.50123	1.15778	1157.046326637268
6	1496.3	630.546	2171.03	618.804	2524.57	31.5431	2569.61	2474.68	1000.0	1000.0	34999	60.6172	28.2626	130.622	11.7485	60.6173	28.2631	132.125	10.9141	61.2432	28.1506	130.218	12.7536	-1.0836	2.49932	15.4639	-17.0685	-61.8764	2.18808	2.15428	1.5476	1350.038584470749
7	1766.33	863.35	2409.3	60.052	2718.32	128.17	2941.67	2595.31	1000.0	1000.0	39999	73.6298	35.9022	148.517	8.31916	73.6299	35.9027	149.015	7.57978	74.2237	35.738	147.477	9.76552	-0.642069	2.67132	16.7016	-15.8854	-74.924	2.74938	2.69574	1.92401	1543.6401658058167
8	2646.91	188.228	2919.68	2347.04	3411.9	138.441	3573.45	3160.67	1000.0	1000.0	44999	88.06	43.1703	171.826	4.90596	88.0605	43.1713	173.645	3.18949	88.6325	42.9562	173.317	5.92801	-0.217653	2.82991	17.7067	-16.7039	-89.3954	3.28751	3.23592	2.2861	1736.253484249115
9	2822.3	359.1	3284.51	2208.23	3254.94	91.2195	3341.01	3094.48	1000.0	1000.0	49999	104.326	49.9947	201.762	2.41675	104.326	49.9959	201.496	-0.760848	104.9	49.7377	202.237	4.03058	0.233423	2.9668	18.1493	-16.3889	-105.724	4.09462	4.02764	2.79452	1929.2541480064392
