Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
0	-303.284	52.9057	-205.414	-356.65	-336.133	7.47822	-326.622	-345.467	1000.0	1000.0	4999	23.8458	10.0763	51.4459	-3.0257	23.8441	10.0791	50.6003	-2.15339	0.519411	0.216386	0.9997	0.232247	-6.59774	-3.24258	1.61592	23.5356	-14.2208	-25.9498	1.49549	1.53546	120.60067939758301
1	-284.066	84.8943	-166.92	-385.445	-325.883	7.32967	-316.722	-334.646	1000.0	1000.0	9999	42.9367	5.9561	68.7853	22.2737	42.9365	5.95806	68.6226	22.6157	0.132619	0.0437569	0.232184	0.0797971	-8.80881	1.4097	4.27567	35.9003	-16.6965	-44.3129	1.80663	1.83043	241.22618532180786
2	-332.537	122.931	-103.126	-469.418	-245.772	26.6759	-215.266	-283.387	1000.0	1000.0	14999	55.554	5.62607	87.8106	34.5191	55.5523	5.62248	88.9913	35.0283	0.0520172	0.0133998	0.0797933	0.0300613	-2.84556	5.02242	4.94239	67.9373	-13.9081	-56.5754	2.57515	2.79435	362.60200357437134
3	-194.637	60.5466	-106.887	-282.009	-210.613	83.9734	-45.8764	-281.48	1000.0	1000.0	19999	49.1939	11.5689	82.9922	16.8919	49.1927	11.5673	84.1705	17.2412	0.0209433	0.00414997	0.0300551	0.0149673	-1.06427	5.72001	4.80978	43.6271	-14.2961	-49.5953	1.875	1.97145	483.8134231567383
4	78.5302	291.434	591.259	-221.392	889.261	249.006	1074.57	404.889	1000.0	1000.0	24999	38.9979	15.1738	86.7325	8.09863	38.9971	15.1737	85.6283	8.33566	0.0113797	0.00149377	0.0149641	0.00986597	-0.452698	5.89701	4.19526	42.8422	-13.0908	-39.2534	1.71614	1.76181	605.3707792758942
5	1210.82	498.39	1980.79	470.979	1984.73	156.992	2162.52	1788.25	1000.0	1000.0	29999	36.9484	19.6984	101.936	3.61591	36.9477	19.7007	102.929	2.93185	0.0128997	0.00250949	0.0175202	0.00994754	0.581483	6.13489	4.41564	44.51	-15.2391	-37.3032	2.07047	2.07692	727.0664131641388
6	2298.4	277.459	2535.88	1796.61	2771.74	89.6638	2898.91	2622.88	1000.0	1000.0	34999	45.6375	30.9259	130.641	-3.47466	45.6366	30.9282	131.245	-3.68104	0.0239934	0.00313727	0.0291418	0.0175293	0.502444	6.13237	5.0638	38.4567	-13.0339	-46.1487	3.3945	3.37016	848.6383047103882
7	2917.11	77.7192	2994.42	2792.38	2942.59	114.631	3041.01	2734.39	1000.0	1000.0	39999	63.397	43.5799	164.66	-10.2237	63.3965	43.5812	165.288	-10.4079	0.0346994	0.00304973	0.0407743	0.0291439	0.273517	6.0812	5.04149	36.1178	-12.9903	-63.9419	4.28223	4.2665	969.8769121170044
8	3042.21	187.041	3231.22	2735.33	2760.59	753.108	3168.19	1255.57	1000.0	1000.0	44999	84.4146	53.5529	192.816	-15.5205	84.4139	53.554	192.644	-15.7045	0.0468401	0.00289649	0.0519156	0.040773	0.179248	6.05815	5.0376	43.4375	-14.6625	-84.9645	5.09616	5.1727	1091.2443392276764
9	2743.81	788.301	3324.1	1186.73	3267.85	138.314	3399.11	3028.59	1000.0	1000.0	49999	104.782	60.9196	214.541	-17.3518	104.782	60.9204	214.401	-17.7493	0.0544971	0.00164774	0.0568684	0.0517697	0.0557955	6.0191	4.87884	46.6041	-14.3479	-105.26	5.8916	5.95983	1212.3364663124084
