Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
0	-52.969	82.9984	-0.262747	-412.531	-1472.09	263.436	-984.639	-1757.24	126.795	939.2	4999	32.8327	14.9166	71.5334	-4.52516	32.8316	14.9189	72.4546	-4.51949	0.529163	0.211625	0.9997	0.250929	-7.40296	-3.27652	2.81645	19.7	-14.795	-36.1953	3.30123	3.31638	147.9878044128418
1	-44.5448	85.1213	35.1297	-423.651	-498.406	654.355	-22.1465	-1709.51	129.436	294.4	9999	82.4308	22.0876	150.528	-12.131	82.4327	22.079	150.933	-10.1826	0.166962	0.0331382	0.250867	0.13669	-4.20773	5.41629	5.74156	44.0712	-21.5582	-86.9847	14.6643	14.4796	295.448126077652
2	-335.482	502.431	-6.02147	-1813.65	-85.6238	51.321	-48.2217	-185.662	267.444	136.4	14999	127.604	16.0574	173.232	-27.9465	127.607	16.0414	175.493	-24.1738	0.0895933	0.0291857	0.14844	0.0484797	-2.28317	7.05916	5.31686	46.3053	-17.0162	-130.652	27.1744	27.2725	432.9352958202362
3	-423.921	207.902	-19.1267	-677.035	-105.976	119.143	-23.7985	-341.557	838.5	288.4	19999	112.728	16.9096	161.358	-26.1194	112.73	16.8883	160.911	-20.5528	0.0339433	0.00610454	0.0484702	0.0258128	-0.819773	7.75021	4.32964	37.8004	-16.3977	-114.228	17.0174	17.2077	574.9988112449646
4	-73.6006	78.6338	6.76819	-276.335	-78.3373	94.1076	-1.88206	-263.637	247.0	304.0	24999	89.1956	15.6381	140.822	-94.9474	89.1952	15.6383	138.306	-96.0767	0.0207567	0.00249271	0.0259336	0.0171419	-0.352831	7.90841	3.99585	36.1606	-10.827	-90.178	10.0634	9.90886	708.0140147209167
5	-77.7359	91.9251	-0.0619151	-258.694	13.5332	38.4698	62.4589	-45.1428	494.455	531.8	29999	66.4637	12.8566	113.274	-40.881	66.4633	12.8668	112.347	-44.0071	0.0139481	0.00154429	0.0171398	0.0116915	-0.277601	7.93471	3.76921	39.7682	-13.1536	-67.1451	5.86497	5.65743	862.1499645709991
6	44.487	75.5507	179.063	-29.9568	176.756	48.9423	234.779	109.708	602.375	628.2	34999	48.8091	9.32561	88.7862	-34.3271	48.8088	9.3361	90.3546	-35.8685	0.0104914	0.000596268	0.0117602	0.00963042	-0.150719	7.96675	3.44367	37.7958	-11.426	-49.3855	3.70589	3.53043	1000.1183264255524
7	261.42	148.074	395.156	34.4131	409.858	73.7856	505.878	278.453	719.5	911.4	39999	38.8073	7.5	75.8601	-21.7061	38.8066	7.50879	76.8706	-30.0012	0.0094386	0.000119643	0.00974256	0.00918148	-0.0315852	7.99318	3.15005	32.466	-10.4091	-39.3556	2.79239	2.67095	1125.6504218578339
8	182.074	143.542	383.022	7.11058	316.936	195.067	544.232	46.4383	542.9	672.0	44999	33.0311	6.87172	68.6821	-25.4325	33.0309	6.87981	70.0412	-23.1654	0.00928094	0.000106024	0.00953566	0.00902919	-0.00350786	7.99922	2.93811	28.9162	-11.1959	-33.5666	2.44347	2.3547	1280.3514745235443
9	283.868	207.786	582.767	37.2775	295.14	218.617	569.64	44.8563	552.556	637.0	49999	30.0729	6.7844	64.2884	-27.6077	30.073	6.78852	65.3312	-19.4811	0.0093807	7.66287e-05	0.00957226	0.00917309	0.00444097	8.00092	2.8078	28.1825	-10.9352	-30.5944	2.18509	2.12578	1422.6030521392822
