Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	LossAlpha	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	Time
0	-333.682	55.4218	-259.862	-416.133	-57.9251	17.6428	-39.1337	-86.6946	1000.0	1000.0	4999	22.3203	8.87328	44.1816	-4.765	22.3193	8.87627	44.4	-5.54238	0.517261	0.217927	0.9997	0.228571	-6.92436	-3.47407	1.33624	29.9049	-11.4456	-24.3167	0.95586	0.935676	124.10145854949951
1	-256.277	59.2146	-178.746	-351.968	-290.939	49.3655	-203.435	-337.769	1000.0	1000.0	9999	38.7028	5.50049	63.0364	20.2404	38.7032	5.49749	62.755	20.6618	0.131499	0.0433554	0.228508	0.0760869	-9.12752	1.29601	4.26799	34.4328	-17.5013	-39.9469	1.5359	1.52701	247.99746870994568
2	-329.469	96.6206	-191.824	-486.867	-99.4379	66.2339	23.1771	-178.025	1000.0	1000.0	14999	47.9248	6.05587	82.2227	28.2269	47.9255	6.05206	83.4139	28.1442	0.0451378	0.0179157	0.0762345	0.01996	-6.40779	4.02869	4.43426	49.4469	-19.0749	-48.6541	1.93857	1.95527	373.04313611984253
3	174.004	262.255	579.867	-172.474	464.052	340.612	905.358	10.5752	1000.0	1000.0	19999	40.4751	8.18744	72.7598	20.2128	40.4753	8.18242	71.9554	17.8381	0.0126728	0.00301482	0.0199543	0.00943792	-3.27987	5.2234	3.76753	38.4472	-13.808	-40.7871	1.58733	1.64139	498.07315039634705
4	1115.24	825.037	2193.4	-76.3657	1941.14	160.744	2061.68	1637.92	1000.0	1000.0	24999	37.6396	14.9879	97.2977	11.2187	37.6404	14.9818	96.8209	11.3941	0.0123731	0.00225381	0.0171515	0.00943416	0.687286	6.15748	4.48413	40.3596	-12.7244	-38.0145	2.05256	2.1305	623.039341211319
5	2031.17	489.286	2737.12	1489.42	1762.92	985.225	3311.52	286.434	1000.0	1000.0	29999	47.4049	28.555	134.216	3.91151	47.4057	28.5522	134.831	3.25004	0.0241735	0.00416944	0.0309581	0.0171538	0.604827	6.16033	5.14085	39.1445	-13.5601	-47.9134	3.38312	3.4557	748.0361335277557
6	2915.09	432.608	3216.06	2058.6	1667.26	1177.71	3305.4	114.15	1000.0	1000.0	34999	65.0069	42.1662	162.795	-5.15293	65.0075	42.1641	162.974	-4.26575	0.0380911	0.00473452	0.0476036	0.0309627	0.362474	6.11119	5.32719	35.5574	-14.3762	-65.514	5.27072	5.35932	873.0852913856506
7	3019.08	519.945	3421.42	1999.21	3432.46	626.929	3834.07	2186.18	1000.0	1000.0	39999	86.7648	53.4047	192.015	-12.6715	86.7652	53.4045	191.901	-12.8404	0.057031	0.00475242	0.0646855	0.0476091	0.216696	6.07478	5.23712	33.9505	-14.6612	-87.24	6.87268	6.91683	997.9049696922302
8	3616.99	172.401	3809.49	3358.41	4057.41	88.0084	4156.62	3931.55	1000.0	1000.0	44999	107.31	61.5167	214.716	-19.1208	107.309	61.5181	214.69	-18.5501	0.0714807	0.00443272	0.0786222	0.0642836	0.115116	6.04331	5.12379	40.252	-13.797	-107.655	8.28341	8.31117	1122.4479339122772
9	3575.44	663.506	4024.63	2269.1	4252.07	63.0997	4320.22	4146.6	1000.0	1000.0	49999	126.565	67.7557	237.358	-22.8425	126.564	67.7567	236.952	-22.7817	0.0825541	0.00248634	0.0878364	0.0769942	0.0768907	6.03074	5.05363	33.3102	-12.9091	-126.802	8.81882	8.97421	1247.057307958603
10	3903.93	77.84	3994.57	3766.52	4109.31	55.0825	4197.05	4046.71	1000.0	1000.0	54999	143.874	72.5039	252.9	-26.1432	143.873	72.5039	256.086	-25.3804	0.0940194	0.00370781	0.101282	0.0878257	0.0776065	6.03283	5.03681	35.5944	-13.851	-143.991	9.41924	9.73676	1371.4491937160492
11	3868.03	902.587	4469.26	2099.77	4776.6	85.2115	4887.24	4677.82	1000.0	1000.0	59999	158.194	76.2214	267.525	-26.5755	158.193	76.2214	268.383	-27.2003	0.102719	0.000741211	0.104361	0.10118	0.0137788	6.00601	4.98262	32.8668	-12.9234	-158.216	9.97665	10.4472	1495.7795510292053
12	4478.33	209.425	4677.35	4122.7	4709.94	132.588	4881.28	4493.97	1000.0	1000.0	64999	173.077	79.9069	284.447	-26.5385	173.076	79.9058	285.522	-27.5303	0.10985	0.00314539	0.114973	0.103793	0.0497319	6.0224	4.94622	30.7267	-13.5169	-173.037	10.1351	10.6732	1620.3765828609467
